,MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA
108,2023-01-19 20:06:25.667,8,-8,0
109,2023-01-19 20:06:25.667,2,12276,0
110,2023-01-19 20:06:25.667,1,12272,0
111,2023-01-19 20:06:25.667,0,66584,0
112,2023-01-19 20:06:25.667,3,Public -- 2022-2023 (CCG DCA UCSD-HDSI Capstone) | Microsoft Teams,0
113,2023-01-19 20:06:25.667,4,Teams.exe,0
114,2023-01-19 20:06:25.667,9,1040,0
115,2023-01-19 20:06:25.667,5,Chrome_WidgetWin_1,0
116,2023-01-19 20:06:25.667,10,0,0
117,2023-01-19 20:06:25.667,11,0,0
118,2023-01-19 20:06:25.667,6,-8,0
119,2023-01-19 20:06:25.667,7,1928,0
120,2023-01-19 20:06:33.726,2,12280,0
121,2023-01-19 20:06:33.726,6,182,0
122,2023-01-19 20:06:33.726,10,0,0
123,2023-01-19 20:06:33.726,3,esrv.exe,0
124,2023-01-19 20:06:33.726,4,VsDebugConsole.exe,0
125,2023-01-19 20:06:33.726,11,0,0
126,2023-01-19 20:06:33.726,9,701,0
127,2023-01-19 20:06:33.726,8,182,0
128,2023-01-19 20:06:33.726,7,1175,0
129,2023-01-19 20:06:33.726,1,10152,0
130,2023-01-19 20:06:33.726,5,ConsoleWindowClass,0
131,2023-01-19 20:06:33.726,0,788732,0
132,2023-01-19 20:06:35.749,0,67100,0
133,2023-01-19 20:06:35.749,1,13244,0
134,2023-01-19 20:06:35.749,2,11684,0
135,2023-01-19 20:06:35.749,6,945,0
136,2023-01-19 20:06:35.749,8,27,0
137,2023-01-19 20:06:35.749,9,1039,0
138,2023-01-19 20:06:35.749,10,0,0
139,2023-01-19 20:06:35.749,11,0,0
140,2023-01-19 20:06:35.749,7,1890,0
141,2023-01-19 20:06:35.749,3,How to Configure a C/C++ Project in VS - Google Docs - Google Chrome,0
142,2023-01-19 20:06:35.749,4,chrome.exe,0
143,2023-01-19 20:06:35.749,5,Chrome_WidgetWin_1,0
144,2023-01-19 20:07:13.040,0,65956,0
145,2023-01-19 20:07:13.040,3,Search,0
146,2023-01-19 20:07:13.040,4,SearchHost.exe,0
147,2023-01-19 20:07:13.040,5,Windows.UI.Core.CoreWindow,0
148,2023-01-19 20:07:13.040,2,7988,0
149,2023-01-19 20:07:13.040,6,560,0
150,2023-01-19 20:07:13.040,1,6732,0
151,2023-01-19 20:07:13.040,11,1,0
152,2023-01-19 20:07:13.040,10,0,0
153,2023-01-19 20:07:13.040,9,1032,0
154,2023-01-19 20:07:13.040,8,282,0
155,2023-01-19 20:07:13.040,7,1360,0
156,2023-01-19 20:07:19.215,9,571,0
157,2023-01-19 20:07:19.215,2,7616,0
158,2023-01-19 20:07:19.215,1,7384,0
159,2023-01-19 20:07:19.215,0,1378400,0
160,2023-01-19 20:07:19.215,7,1045,0
161,2023-01-19 20:07:19.215,6,52,0
162,2023-01-19 20:07:19.215,8,52,0
163,2023-01-19 20:07:19.215,11,0,0
164,2023-01-19 20:07:19.215,10,0,0
165,2023-01-19 20:07:19.215,5,ConsoleWindowClass,0
166,2023-01-19 20:07:19.215,4,Unable To Open Process,0
167,2023-01-19 20:07:19.215,3,Administrator: Command Prompt,0
168,2023-01-19 20:07:24.252,11,0,0
169,2023-01-19 20:07:24.252,9,1015,0
170,2023-01-19 20:07:24.252,7,1120,0
171,2023-01-19 20:07:24.252,6,175,0
172,2023-01-19 20:07:24.252,1,13244,0
173,2023-01-19 20:07:24.252,0,67100,0
174,2023-01-19 20:07:24.252,10,0,0
175,2023-01-19 20:07:24.252,8,3,0
176,2023-01-19 20:07:24.252,2,11684,0
177,2023-01-19 20:07:24.252,3,Installation - pip documentation v22.3.1 - Google Chrome,0
178,2023-01-19 20:07:24.252,4,chrome.exe,0
179,2023-01-19 20:07:24.252,5,Chrome_WidgetWin_1,0
180,2023-01-19 20:07:25.262,7,1848,0
181,2023-01-19 20:07:25.262,11,0,0
182,2023-01-19 20:07:25.262,10,0,0
183,2023-01-19 20:07:25.262,9,1053,0
184,2023-01-19 20:07:25.262,8,534,0
185,2023-01-19 20:07:25.262,6,855,0
186,2023-01-19 20:07:25.262,2,7616,0
187,2023-01-19 20:07:25.262,0,1378400,0
188,2023-01-19 20:07:25.262,1,7384,0
189,2023-01-19 20:07:25.262,5,ConsoleWindowClass,0
190,2023-01-19 20:07:25.262,4,Unable To Open Process,0
191,2023-01-19 20:07:25.262,3,Administrator: Command Prompt,0
192,2023-01-19 20:07:41.362,5,Chrome_WidgetWin_1,0
193,2023-01-19 20:07:41.362,8,0,0
194,2023-01-19 20:07:41.362,4,chrome.exe,0
195,2023-01-19 20:07:41.362,3,Installation - pip documentation v22.3.1 - Google Chrome,0
196,2023-01-19 20:07:41.362,10,0,0
197,2023-01-19 20:07:41.362,0,67100,0
198,2023-01-19 20:07:41.362,1,13244,0
199,2023-01-19 20:07:41.362,2,11684,0
200,2023-01-19 20:07:41.362,6,177,0
201,2023-01-19 20:07:41.362,7,1122,0
202,2023-01-19 20:07:41.362,11,0,0
203,2023-01-19 20:07:41.362,9,1012,0
204,2023-01-19 20:08:48.844,8,182,0
205,2023-01-19 20:08:48.844,10,0,0
206,2023-01-19 20:08:48.844,11,0,0
207,2023-01-19 20:08:48.844,9,701,0
208,2023-01-19 20:08:48.844,7,1175,0
209,2023-01-19 20:08:48.844,6,182,0
210,2023-01-19 20:08:48.844,4,VsDebugConsole.exe,0
211,2023-01-19 20:08:48.844,1,10152,0
212,2023-01-19 20:08:48.844,0,788732,0
213,2023-01-19 20:08:48.844,5,ConsoleWindowClass,0
214,2023-01-19 20:08:48.844,2,12280,0
215,2023-01-19 20:08:48.844,3,esrv.exe,0
216,2023-01-19 20:17:38.090,11,0,0
217,2023-01-19 20:17:38.090,10,0,0
218,2023-01-19 20:17:38.090,9,649,0
219,2023-01-19 20:17:38.090,8,130,0
220,2023-01-19 20:17:38.090,6,130,0
221,2023-01-19 20:17:38.090,2,5084,0
222,2023-01-19 20:17:38.090,7,1123,0
223,2023-01-19 20:17:38.090,0,592100,0
224,2023-01-19 20:17:38.090,5,ConsoleWindowClass,0
225,2023-01-19 20:17:38.090,4,VsDebugConsole.exe,0
226,2023-01-19 20:17:38.090,3,esrv.exe,0
227,2023-01-19 20:17:38.090,1,10116,0
228,2023-01-19 20:17:41.109,5,HwndWrapper,0
229,2023-01-19 20:17:41.109,9,1040,0
230,2023-01-19 20:17:41.109,8,-8,0
231,2023-01-19 20:17:41.109,7,1928,0
232,2023-01-19 20:17:41.109,6,-8,0
