,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total_Usage
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.988,3294.0240000000003,1992.386,881.1069999999999,36.329,0.0,465.974,792.134,22.153,0.0,0.0,0.0,8332.095
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.448,1274.2619999999997,1857.745,2259.9210000000003,80.75500000000001,155.04799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2719.154,184.98299999999998,0.0,0.0,8599.315999999997
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212.135,1496.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4708.594999999999
3,0.0,0.0,0.0,0.0,0.0,0.0,506.0,3323.241,3600.0,3524.358,3286.883,3572.424,3594.0710000000004,3566.708,893.171,0.0,187.017,3593.8810000000003,3600.0,3579.201,3065.813,2440.901,0.0,0.0,42333.668999999994
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.204,2403.672,0.0,0.0,0.0,3099.681,2846.313,2256.1730000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10656.043000000001
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.631,3016.0,1666.901,1292.142,0.0,3578.0,3600.0,3600.0,3600.0,3600.0,2008.1170000000013,0.0,0.0,0.0,0.0,0.0,26048.791
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.617,2804.0009999999997,2461.808,534.077,0.0,0.0,2471.8409999999994,3593.871,3477.42,1863.4310000000003,0.0,18424.066
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.0,3166.8690000000006,201.11700000000002,114.81699999999998,1407.2340000000002,0.0,0.0,0.0,0.0,5838.037
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.6310000000001,1909.0339999999999,12.155,424.28999999999996,3184.2599999999998,481.733,66.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6847.6179999999995
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.881,0.0,111.0,3577.282,3600.0,3249.417999999999,3527.255,1694.597,15864.433
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.506,1890.296,2728.621,0.0,0.0,1684.4990000000003,0.0,0.0,0.0,0.0,8291.922
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242.943,3466.147,1955.7889999999998,0.0,3220.0789999999997,3351.236,2377.204,0.0,979.385,2016.3419999999999,3530.215,3600.0,1901.2950000000003,0.0,28640.635000000013
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.5440000000001,3098.5950000000007,3524.0730000000003,3564.527,2797.1419999999994,5.163,13934.044000000002
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.1600000000001,375.66999999999996,2934.4919999999997,2956.407,3508.639,1102.9800000000002,356.552,0.0,0.0,222.606,0.0,0.0,0.0,12319.506000000001
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.0,3576.5209999999997,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,355.17299999999864,0.0,0.0,0.0,28182.694
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.648,3365.3329999999996,866.7819999999999,2870.036,1832.7479999999996,9890.546999999999
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.356,3600.0,1556.6920000000005,401.498,0.0,1840.0,336.00199999999995,9414.547999999999
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
