,MEASUREMENT_TIME,VALUE,Time_Used
0,2023-01-15 10:20:31.558,s0,0.0
1,2023-01-15 10:20:31.558,VsDebugConsole.exe,2.023
2,2023-01-15 10:20:33.581,explorer.exe,3.031
3,2023-01-15 10:20:36.612,VsDebugConsole.exe,3.021
4,2023-01-15 10:20:39.633,devenv.exe,1.015
5,2023-01-15 10:20:40.648,ApplicationFrameHost.exe,1.011
6,2023-01-15 10:20:41.659,devenv.exe,3.023
7,2023-01-15 10:20:44.682,VsDebugConsole.exe,0.0
8,2023-01-15 10:21:45.136,s0,0.0
9,2023-01-15 10:21:45.136,VsDebugConsole.exe,3.007
10,2023-01-15 10:21:48.143,ApplicationFrameHost.exe,17.203
11,2023-01-15 10:22:05.346,explorer.exe,13.156
12,2023-01-15 10:22:18.502,ApplicationFrameHost.exe,10.098
13,2023-01-15 10:22:28.600,explorer.exe,16.222
14,2023-01-15 10:22:44.822,ApplicationFrameHost.exe,7.037
15,2023-01-15 10:22:51.859,explorer.exe,91.028
16,2023-01-15 10:24:22.887,chrome.exe,14.132
17,2023-01-15 10:24:37.019,explorer.exe,25.223
18,2023-01-15 10:25:02.242,ApplicationFrameHost.exe,9.072
19,2023-01-15 10:25:11.314,chrome.exe,64.538
20,2023-01-15 10:26:15.852,explorer.exe,3.037
21,2023-01-15 10:26:18.889,ApplicationFrameHost.exe,10.091
22,2023-01-15 10:26:28.980,ShellExperienceHost.exe,3.025
23,2023-01-15 10:26:32.005,ApplicationFrameHost.exe,101.909
24,2023-01-15 10:28:13.914,SearchApp.exe,1.015
25,2023-01-15 10:28:14.929,ApplicationFrameHost.exe,5.032
26,2023-01-15 10:28:19.961,SearchApp.exe,5.051
27,2023-01-15 10:28:25.012,explorer.exe,2.028
28,2023-01-15 10:28:27.040,Unable To Open Process,21.186
29,2023-01-15 10:28:48.226,ApplicationFrameHost.exe,8.086
30,2023-01-15 10:28:56.312,Unable To Open Process,22.19
31,2023-01-15 10:29:18.502,ApplicationFrameHost.exe,37.31
32,2023-01-15 10:29:55.812,Unable To Open Process,162.437
33,2023-01-15 10:32:38.249,ApplicationFrameHost.exe,10.1
34,2023-01-15 10:32:48.349,Unable To Open Process,6.056
35,2023-01-15 10:32:54.405,ApplicationFrameHost.exe,1.005
36,2023-01-15 10:32:55.410,Unable To Open Process,15.126
37,2023-01-15 10:33:10.536,ApplicationFrameHost.exe,1.012
38,2023-01-15 10:33:11.548,Unable To Open Process,41.403
39,2023-01-15 10:33:52.951,ApplicationFrameHost.exe,1.011
40,2023-01-15 10:33:53.962,Unable To Open Process,7.08
41,2023-01-15 10:34:01.042,ApplicationFrameHost.exe,2.027
42,2023-01-15 10:34:03.069,Unable To Open Process,12.116
43,2023-01-15 10:34:15.185,ApplicationFrameHost.exe,1.011
44,2023-01-15 10:34:16.196,Unable To Open Process,10.097
45,2023-01-15 10:34:26.293,SearchApp.exe,1.01
46,2023-01-15 10:34:27.303,explorer.exe,1.003
47,2023-01-15 10:34:28.306,SnippingTool.exe,10.09
48,2023-01-15 10:34:38.396,Unable To Open Process,1.013
49,2023-01-15 10:34:39.409,SnippingTool.exe,2.012
50,2023-01-15 10:34:41.421,ApplicationFrameHost.exe,5.04
51,2023-01-15 10:34:46.461,Unable To Open Process,74.628
52,2023-01-15 10:36:01.089,ApplicationFrameHost.exe,1.013
53,2023-01-15 10:36:02.102,Unable To Open Process,34.276
54,2023-01-15 10:36:36.378,ApplicationFrameHost.exe,2.014
55,2023-01-15 10:36:38.392,Unable To Open Process,101.947
56,2023-01-15 10:38:20.339,ApplicationFrameHost.exe,62.515
57,2023-01-15 10:39:22.854,Unable To Open Process,32.277
58,2023-01-15 10:39:55.131,VsDebugConsole.exe,14.132
59,2023-01-15 10:40:09.263,Unable To Open Process,9.068
60,2023-01-15 10:40:18.331,devenv.exe,23.166
61,2023-01-15 10:40:41.497,chrome.exe,44.352
62,2023-01-15 10:41:25.849,devenv.exe,12.101
63,2023-01-15 10:41:37.950,chrome.exe,26.194
64,2023-01-15 10:42:04.144,devenv.exe,4.038
65,2023-01-15 10:42:08.182,Unable To Open Process,11.099
66,2023-01-15 10:42:19.281,devenv.exe,1.016
67,2023-01-15 10:42:20.297,Unable To Open Process,2.007
68,2023-01-15 10:42:22.304,ApplicationFrameHost.exe,2.013
69,2023-01-15 10:42:24.317,Unable To Open Process,22.185
70,2023-01-15 10:42:46.502,devenv.exe,26.242
71,2023-01-15 10:43:12.744,Unable To Open Process,3.011
72,2023-01-15 10:43:15.755,VsDebugConsole.exe,16.116
73,2023-01-15 10:43:31.871,Unable To Open Process,7.05
74,2023-01-15 10:43:38.921,explorer.exe,3.031
75,2023-01-15 10:43:41.952,devenv.exe,2.028
76,2023-01-15 10:43:43.980,Unable To Open Process,51.419
77,2023-01-15 10:44:35.399,VsDebugConsole.exe,2.019
78,2023-01-15 10:44:37.418,chrome.exe,80.616
79,2023-01-15 10:45:58.034,VsDebugConsole.exe,7.016
80,2023-01-15 10:46:05.050,ApplicationFrameHost.exe,62.126
81,2023-01-15 10:47:07.176,chrome.exe,2776.676
82,2023-01-15 11:33:23.852,devenv.exe,1.0
